word,phonemes
pig,"p,ɪ,ɡ"
ball,"b,ɔ,l"
apple,"æ,p,əl"
bunny,"b,ə,n,i"
cup,"k,ə,p"
sun,"s,ə,n"
ten,"t,ɛ,n"
dog,"d,ɔ,ɡ"
water,"w,ɔ,t,ə,r"
ladder,"l,æ,d,ə,r"
boat,"b,oʊ,t"
bed,"b,ɛ,d"
key,"k,i"
goat,"ɡ,oʊ,t"
cookie,"k,ʊ,k,i"
tiger,"t,aɪ,ɡ,ə,r"
bike,"b,aɪ,k"
fish,"f,ɪ,ʃ"
whale,"w,eɪ,l"
elephant,"ɛ,l,ə,f,ə,n,t"
leaf,"l,i,f"
zebra,"z,i,b,r,ə"
pencil,"p,ɛ,n,s,əl"
lizard,"l,ɪ,z,ə,r,d"
bus,"b,ə,s"
cheese,"tʃ,i,z"
yarn,"j,ɑ,r,n"
hat,"h,æ,t"
yoyo,"j,oʊ,j,oʊ"
shoe,"ʃ,u"
flashlight,"f,l,æ,ʃ,l,aɪ,t"
spider,"s,p,aɪ,d,ə,r"
star,"s,t,ɑ,r"
blue,"b,l,u"
plane,"p,l,eɪ,n"
lion,"l,aɪ,ə,n"
balloon,"b,ə,l,u,n"
bell,"b,ɛ,l"
rock,"r,ɑ,k"
mirror,"m,ɪ,r,ə,r"
volcano,"v,ɑ,l,k,eɪ,n,oʊ"
seven,"s,ɛ,v,ə,n"
glove,"ɡ,l,ə,v"
chair,"tʃ,ɛ,r"
jeep,"dʒ,i,p"
kitchen,"k,ɪ,tʃ,ə,n"
orange,"ɔ,r,ɪ,n,dʒ"
watch,"w,ɔ,tʃ"
bridge,"b,r,ɪ,dʒ"
frog,"f,r,ɑ,ɡ"
truck,"t,r,ə,k"
thumb,"θ,ə,m"
toothbrush,"t,u,θ,b,r,ə,ʃ"
mouth,"m,aʊ,θ"
they,"ð,eɪ"
feather,"f,ɛ,ð,ə,r"
smooth,"s,m,u,ð"
treasure,"t,r,ɛ,ʒ,ə,r"
helicopter,"h,ɛ,l,ɪ,k,ɑ,p,t,ə,r"
vegetable,"v,ɛ,dʒ,t,ə,b,əl"
spaghetti,"s,p,ə,ɡ,ɛ,t,i"
pa,"p,ɑ"
ba,"b,ɑ"
ta,"t,ɑ"
ka,"k,ɑ"
a big chair,"ə,b,ɪ,ɡ,tʃ,ɛ,r"
a big cup,"ə,b,ɪ,ɡ,k,ə,p"
a big sock,"ə,b,ɪ,ɡ,s,ɑ,k"
a big whale,"ə,b,ɪ,ɡ,w,eɪ,l"
a red ball,"ə,r,ɛ,d,b,ɔ,l"
a red car,"ə,r,ɛ,d,k,ɑ,r"
al,"æ,l"
cat,"k,æ,t"
cha,"tʃ,ɑ"
chee,"tʃ,i"
cho,"tʃ,oʊ"
chop,"tʃ,ɑ,p"
el,"ɛ,l"
hill,"h,ɪ,l"
